location,dte_ra,ci_lower,ci_upper
101,0.006823522476189892,0.0018578800214768595,0.011789164930902924
102,0.006215437486249864,0.001334922657172141,0.011095952315327586
103,0.006152577304468387,0.0012141883231267855,0.01109096628580999
104,0.006093187409471623,0.001109679919477002,0.011076694899466244
105,0.0057770266746699495,0.0010629245188899464,0.010491128830449952
106,0.005566978971443093,0.0009333000329871718,0.010200657909899014
107,0.005178797028206339,0.0004199610804997301,0.009937632975912948
108,0.005174263731227313,0.0005700962368995234,0.009778431225555103
109,0.005466568810989281,0.0007661218489108494,0.010167015773067712
110,0.005787444296455391,0.001212559385959198,0.010362329206951584
111,0.005332741386630424,0.0006695108523533172,0.00999597192090753
112,0.005548353676245732,0.0011180019007467953,0.009978705451744669
113,0.005514654988297729,0.0012028844517983032,0.009826425524797155
114,0.005756058849550771,0.0013678488922394833,0.01014426880686206
115,0.005965205457284184,0.0015980224273669684,0.010332388487201399
116,0.00618522513679165,0.0019610530053166993,0.0104093972682666
117,0.005914481863905974,0.0017858423198210734,0.010043121407990874
118,0.005879207085441429,0.0017420660760114103,0.010016348094871449
119,0.005511109362238309,0.0015778175354379583,0.00944440118903866
120,0.005379411305251214,0.0013565228322472735,0.009402299778255154
121,0.005421984170306926,0.001434553707906243,0.00940941463270761
122,0.004892057866319854,0.000883718930346649,0.00890039680229306
123,0.004546254897169866,0.0006210734676917965,0.008471436326647935
124,0.004405667438167615,0.0005277767002071138,0.008283558176128117
125,0.0042610603239043865,0.00045305161051851714,0.008069069037290256
126,0.004056747956113216,0.00024054072358409805,0.007872955188642334
127,0.003714032490846897,8.301582995541221e-05,0.007345049151738382
128,0.0038845677932773937,0.00020886341671574578,0.007560272169839042
129,0.003762737668173366,0.0001620414105353873,0.007363433925811345
130,0.003543037289439277,-1.300359077932231e-05,0.007099078169657876
131,0.003603010321410416,0.00010339984195573311,0.007102620800865099
132,0.0033243473700605985,-7.740345664273987e-05,0.0067260981967639365
133,0.0037207520614558343,0.0003917052014984013,0.007049798921413267
134,0.0034420418461200697,0.00011800222439204257,0.006766081467848097
135,0.003390734630295378,7.16776268241408e-05,0.006709791633766615
136,0.003297151312871227,-7.956046419612447e-05,0.006673863089938579
137,0.003162355146428708,-0.00021546445804625659,0.006540174750903673
138,0.003175873554106312,-0.00013799308799763727,0.0064897401962102615
139,0.003265294488309589,4.506531248608253e-05,0.006485523664133096
140,0.003083895961731975,-0.00010142694226877294,0.006269218865732723
141,0.0029349918231571515,-0.00013786942545728625,0.006007853071771589
142,0.003358024021283268,0.0002635224121998671,0.006452525630366669
143,0.003481473672274693,0.0005925691321441704,0.006370378212405216
144,0.0034967820556091045,0.0005706078186000401,0.006422956292618169
145,0.0033451548754390714,0.0004646430758029098,0.006225666675075233
146,0.0031247890954620994,0.00028222657464624856,0.00596735161627795
147,0.003113667475839965,0.00036693377909258326,0.005860401172587347
148,0.002971668217139567,0.00016481692052204176,0.005778519513757092
149,0.0025857070943101634,-0.00022282655075907916,0.0053942407393794065
150,0.002622479496375063,-0.00016154747976974233,0.005406506472519869
151,0.002327388774980177,-0.00044741537761209225,0.005102192927572446
152,0.0023214760455462224,-0.0004227106480330133,0.005065662739125458
153,0.0021718665583698726,-0.0005560616838272791,0.004899794800567025
154,0.0023475095626617204,-0.0003851795010624691,0.0050801986263859095
155,0.002497442767371294,-0.0001360283904369669,0.005130913925179555
156,0.0025636674101147117,-0.00014981056957225286,0.005277145389801676
157,0.002578195007245432,-3.45339553220682e-05,0.005190923969812931
158,0.002555446668704109,-2.7855439276545935e-05,0.005138748776684764
159,0.002404895146480124,-0.00020221987378679727,0.005012010166747045
160,0.0023073488012618215,-0.00021741021458041368,0.004832107817104057
161,0.002425417326596069,-0.00015576032218770448,0.0050065949753798425
162,0.002151213836212751,-0.00039390406279260406,0.004696331735218106
163,0.0021485006617792957,-0.0003549138127761065,0.004651915136334698
164,0.002032947133513874,-0.0004649498964639648,0.004530844163491712
165,0.002007042715430507,-0.000560132864834383,0.004574218295695397
166,0.0018189790770546388,-0.0007258531125430741,0.004363811266652352
167,0.0023033852618923323,-8.416713521139504e-05,0.00469093765899606
168,0.002380837976855288,2.7889815236296998e-05,0.004733786138474279
169,0.0024652875850034173,0.00018419732639144608,0.004746377843615389
170,0.002348223917872372,7.901903176698883e-05,0.004617428803977755
171,0.0022071749888737946,-4.2373100848161916e-05,0.004456723078595751
172,0.0021743510846127245,-6.896018614614219e-05,0.004417662355371591
173,0.002066263878111374,-0.00021468290937905112,0.004347210665601799
174,0.002139745332287557,6.630363912271285e-05,0.004213187025452401
175,0.0020711158231621063,1.7767295757881857e-05,0.004124464350566331
176,0.002025275202054977,-8.477380289017948e-05,0.004135324207000133
177,0.0021739797610579314,0.0001616548944329975,0.004186304627682866
178,0.002122428458596559,8.043776347127192e-05,0.004164419153721847
